category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
syllabic,o_ringAbove-cans,"o-cans, ringAbove-cans",0x18B0,ᢰ,CANADIAN SYLLABICS OY,oCans_ringAboveCans
syllabic,o_dieresis-cans,"o-cans, dieresis-cans",0x1407,ᐇ,CANADIAN SYLLABICS Y-CREE OO,oCans_dieresisCans
syllabic,dot_o-cans,"dot-cans, o-cans",0x1412,ᐒ,CANADIAN SYLLABICS WO,dotCans_oCans
syllabic,dot_o_dotAbove-cans,"dot-cans, o-cans, dotAbove-cans",0x1414,ᐔ,CANADIAN SYLLABICS WOO,dotCans_oCans_dotAboveCans
syllabic,o_dot-cans,"o-cans, dot-cans",0x1413,ᐓ,CANADIAN SYLLABICS WEST-CREE WO,oCans_dotCans
syllabic,o_dotAbove_dot-cans,"o-cans, dotAbove-cans, dot-cans",0x1415,ᐕ,CANADIAN SYLLABICS WEST-CREE WOO,oCans_dotAboveCans_dotCans
syllabic,o_supGrave-cans,"o-cans, supGrave-cans",0x142D,ᐭ,CANADIAN SYLLABICS ON,oCans_supGraveCans
syllabic,a_dotAbove-cans,"a-cans, dotAbove-cans",0x140B,ᐋ,CANADIAN SYLLABICS AA,aCans_dotAboveCans
syllabic,a_ringAbove-cans,"a-cans, ringAbove-cans",0x18B1,ᢱ,CANADIAN SYLLABICS AY,aCans_ringAboveCans
syllabic,a_ringAbove_dotAbove-cans,"a-cans, ringAbove-cans, dotAbove-cans",0x18B2,ᢲ,CANADIAN SYLLABICS AAY,aCans_ringAboveCans_dotAboveCans
syllabic,dot_a-cans,"dot-cans, a-cans",0x1417,ᐗ,CANADIAN SYLLABICS WA,dotCans_aCans
syllabic,dot_a_dotAbove-cans,"dot-cans, a-cans, dotAbove-cans",0x1419,ᐙ,CANADIAN SYLLABICS WAA,dotCans_aCans_dotAboveCans
syllabic,dot_a_ringAbove-cans,"dot-cans, a-cans, ringAbove-cans",0x18B3,ᢳ,CANADIAN SYLLABICS WAY,dotCans_aCans_ringAboveCans
syllabic,a_dot-cans,"a-cans, dot-cans",0x1418,ᐘ,CANADIAN SYLLABICS WEST-CREE WA,aCans_dotCans
syllabic,a_dotAbove_dot-cans,"a-cans, dotAbove-cans, dot-cans",0x141A,ᐚ,CANADIAN SYLLABICS WEST-CREE WAA,aCans_dotAboveCans_dotCans
syllabic,a_supGrave-cans,"a-cans, supGrave-cans",0x142E,ᐮ,CANADIAN SYLLABICS AN,aCans_supGraveCans
syllabic,oWithDiagonalDieresis-cans,,0x1416,ᐖ,CANADIAN SYLLABICS NASKAPI WOO,oWithDiagonalDieresisCans
syllabic,aWithDiagonalDieresis-cans,,0x141B,ᐛ,CANADIAN SYLLABICS NASKAPI WAA,aWithDiagonalDieresisCans
syllabic,pe-cans,,0x142F,ᐯ,CANADIAN SYLLABICS PE,peCans
syllabic,pi-cans,,0x1431,ᐱ,CANADIAN SYLLABICS PI,piCans
syllabic,po-cans,,0x1433,ᐳ,CANADIAN SYLLABICS PO,poCans
syllabic,pa-cans,,0x1438,ᐸ,CANADIAN SYLLABICS PA,paCans
syllabic,pi_ringAbove-cans,"pi-cans, ringAbove-cans",0x1430,ᐰ,CANADIAN SYLLABICS PAAI,piCans_ringAboveCans
syllabic,pi_dotAbove-cans,"pi-cans, dotAbove-cans",0x1432,ᐲ,CANADIAN SYLLABICS PII,piCans_dotAboveCans
syllabic,po_dotAbove-cans,"po-cans, dotAbove-cans",0x1434,ᐴ,CANADIAN SYLLABICS POO,poCans_dotAboveCans
syllabic,pa_dotAbove-cans,"pa-cans, dotAbove-cans",0x1439,ᐹ,CANADIAN SYLLABICS PAA,paCans_dotAboveCans
syllabic,dot_pe-cans,"dot-cans, pe-cans",0x143A,ᐺ,CANADIAN SYLLABICS PWE,dotCans_peCans
syllabic,pe_dot-cans,"pe-cans, dot-cans",0x143B,ᐻ,CANADIAN SYLLABICS WEST-CREE PWE,peCans_dotCans
syllabic,dot_pi-cans,"dot-cans, pi-cans",0x143C,ᐼ,CANADIAN SYLLABICS PWI,dotCans_piCans
syllabic,pi_dot-cans,"pi-cans, dot-cans",0x143D,ᐽ,CANADIAN SYLLABICS WEST-CREE PWI,piCans_dotCans
syllabic,dot_pi_dotAbove-cans,"dot-cans, pi-cans, dotAbove-cans",0x143E,ᐾ,CANADIAN SYLLABICS PWII,dotCans_piCans_dotAboveCans
syllabic,pi_dotAbove_dot-cans,"pi-cans, dotAbove-cans, dot-cans",0x143F,ᐿ,CANADIAN SYLLABICS WEST-CREE PWII,piCans_dotAboveCans_dotCans
syllabic,dot_po-cans,"dot-cans, po-cans",0x1440,ᑀ,CANADIAN SYLLABICS PWO,dotCans_poCans
syllabic,po_dot-cans,"po-cans, dot-cans",0x1441,ᑁ,CANADIAN SYLLABICS WEST-CREE PWO,poCans_dotCans
